ds,yhat,yhat_lower,yhat_upper,GPU
2028-10-01,362.48171862431246,341.30674540575524,384.3141702150801,Radeon R9 370
2028-11-01,334.4904946107993,311.4096359584472,358.2950089883357,Radeon R9 370
2028-12-01,361.8126671521979,338.7345186826333,385.66985767871444,Radeon R9 370
2029-01-01,369.4335406443834,346.41546494037766,391.50448135291396,Radeon R9 370
2023-01-04,366.5918188178724,304.63963825396075,427.2875330061101,Radeon R9 380
2023-01-05,366.5919749265005,307.0805447705086,430.27525675840167,Radeon R9 380
2023-01-06,292.7702121887008,226.9878350257314,355.78363235199964,Radeon R9 380
2023-01-07,306.1225691987702,242.9537487523979,368.68166635253544,Radeon R9 380
2023-01-08,280.07043464265973,217.96502817596533,343.1121807961406,Radeon R9 380
2023-01-09,280.5706046576332,220.53821019177963,343.0679155729701,Radeon R9 380
2023-01-10,279.0668365908174,223.8450680726427,342.56383469583966,Radeon R9 380
2024-01-03,285.3877764817548,220.2524608830321,345.6923496633546,Radeon R9 380
2024-01-04,285.38793259051033,226.22187704455143,348.32645391397415,Radeon R9 380
2024-01-05,211.56616985283912,150.8081847383307,274.8646234447012,Radeon R9 380
2024-01-06,224.91852686290613,164.23481939657583,290.493199951962,Radeon R9 380
2024-01-07,198.86639230678804,136.07060979469094,259.62247033649857,Radeon R9 380
2024-01-08,199.36656232187283,137.68992356271409,258.5725480018991,Radeon R9 380
2024-01-09,197.86279425498822,132.87957438894156,257.60461209426796,Radeon R9 380
2024-01-10,283.82616028298116,218.56626698540467,339.94630978220584,Radeon R9 380
2024-01-11,283.8263163917802,222.4877232962198,346.402372372824,Radeon R9 380
2024-01-12,210.00455365429835,145.47204517046245,271.00751350900526,Radeon R9 380
2024-02-01,279.1414677971895,215.5569261629506,339.92842402878375,Radeon R9 380
2024-03-01,199.07324026625503,139.5770186133863,264.37430270354173,Radeon R9 380
2024-04-01,180.62716794239253,119.42711010284866,242.24647944812847,Radeon R9 380
2024-05-01,258.84030111036117,198.16524578012002,321.9576057506167,Radeon R9 380
2024-06-01,192.12458669866098,130.80206855396614,254.16645925403225,Radeon R9 380
2024-07-01,160.32615736459576,96.36630337272334,224.0207251965596,Radeon R9 380
2024-08-01,238.53944664138342,175.42132322598815,296.28544495148157,Radeon R9 380
2024-09-01,145.77144156481492,83.42170444866348,206.3518950585011,Radeon R9 380
2024-10-01,138.52137872008737,78.45812751754133,202.41151858476914,Radeon R9 380
2024-11-01,144.41667332604473,79.93413336216086,205.565138660106,Radeon R9 380
2024-12-01,125.47043098701916,60.94991279021638,181.69632465736206,Radeon R9 380
2025-01-01,204.18373417029284,145.98389740016054,265.6660474616142,Radeon R9 380
2025-02-01,137.46801975852136,77.15208830355179,203.41591339628835,Radeon R9 380
2025-03-01,131.22155496535123,68.08041235255166,195.8984098870756,Radeon R9 380
2025-04-01,97.91935756446651,33.8634913670525,161.06355685229184,Radeon R9 380
2025-05-01,177.63641490804469,119.34325193850843,242.61706266814002,Radeon R9 380
2025-06-01,84.86840983150013,19.254661024014535,148.89398653650605,Radeon R9 380
2025-07-01,77.6183469865228,9.917482637265383,139.98225325757272,Radeon R9 380
2025-08-01,83.51364159273206,19.70725100840672,143.47066873948117,Radeon R9 380
2025-09-01,65.06756926885613,4.387376860920043,128.1000814256999,Radeon R9 380
2025-10-01,143.28070243679917,83.27098690410646,205.01014504829416,Radeon R9 380
2025-11-01,76.56498802522117,7.377287840420179,139.61216406243102,Radeon R9 380
2025-12-01,44.766558691140744,-18.01191503295851,106.5110649857979,Radeon R9 380
2026-01-01,122.97984796802429,62.68461945973419,181.61313959121696,Radeon R9 380
2026-02-01,30.211842891325585,-32.23926485951953,92.5487576445095,Radeon R9 380
2026-03-01,23.965378098260118,-37.17757633493223,87.50916626811757,Radeon R9 380
2026-04-01,102.6786812814251,39.83353279360901,164.7404908805488,Radeon R9 380
2026-05-01,22.610609859513218,-37.31745084706744,88.25168978937143,Radeon R9 380
2026-06-01,4.164537535628529,-58.455991998744224,69.63798249889761,Radeon R9 380
2026-07-01,82.37767070341017,20.00188328601863,140.5977074690371,Radeon R9 380
2026-08-01,15.661956291854453,-48.665630063548015,77.84067157716865,Radeon R9 380
2026-09-01,-17.64024110906463,-81.37167313702842,45.16171492740719,Radeon R9 380
2026-10-01,62.07681623468549,-1.5372067202976365,122.8827265905089,Radeon R9 380
2026-11-01,-30.691188841916755,-90.29642645421029,32.14647679687251,Radeon R9 380
