Date,Name,Retail Price
1/5/2024,GeForce RTX 3070,446
1/6/2023,GeForce RTX 3070,447
1/6/2024,GeForce RTX 3070,436
1/7/2023,GeForce RTX 3070,454
1/7/2024,GeForce RTX 3070,426
1/8/2023,GeForce RTX 3070,453
1/8/2024,GeForce RTX 3070,424
1/9/2023,GeForce RTX 3070,456
1/9/2024,GeForce RTX 3070,434
1/10/2023,GeForce RTX 3070,505
1/10/2024,GeForce RTX 3070,505
1/11/2022,GeForce RTX 3070,569
1/11/2023,GeForce RTX 3070,434
1/11/2024,GeForce RTX 3070,542
1/12/2022,GeForce RTX 3070,581
1/12/2023,GeForce RTX 3070,446
1/12/2024,GeForce RTX 3070,598
1/1/2023,GeForce RTX 3070 Ti,688
1/1/2024,GeForce RTX 3070 Ti,497
1/2/2023,GeForce RTX 3070 Ti,665
1/2/2024,GeForce RTX 3070 Ti,493
1/3/2023,GeForce RTX 3070 Ti,661
1/3/2024,GeForce RTX 3070 Ti,461
1/4/2023,GeForce RTX 3070 Ti,597
1/4/2024,GeForce RTX 3070 Ti,532
1/5/2023,GeForce RTX 3070 Ti,537
1/5/2024,GeForce RTX 3070 Ti,505
1/6/2023,GeForce RTX 3070 Ti,504
1/6/2024,GeForce RTX 3070 Ti,512
1/7/2023,GeForce RTX 3070 Ti,487
1/7/2024,GeForce RTX 3070 Ti,514
1/8/2023,GeForce RTX 3070 Ti,501
1/8/2024,GeForce RTX 3070 Ti,633
1/9/2023,GeForce RTX 3070 Ti,527
1/9/2024,GeForce RTX 3070 Ti,606
1/10/2023,GeForce RTX 3070 Ti,504
1/10/2024,GeForce RTX 3070 Ti,651
1/11/2022,GeForce RTX 3070 Ti,679
1/11/2023,GeForce RTX 3070 Ti,506
1/11/2024,GeForce RTX 3070 Ti,699
1/12/2022,GeForce RTX 3070 Ti,718
1/12/2023,GeForce RTX 3070 Ti,494
1/12/2024,GeForce RTX 3070 Ti,890
1/1/2023,GeForce RTX 3080,939
1/1/2024,GeForce RTX 3080,679
1/2/2023,GeForce RTX 3080,926
1/2/2024,GeForce RTX 3080,663
1/3/2023,GeForce RTX 3080,881
1/3/2024,GeForce RTX 3080,575
1/4/2023,GeForce RTX 3080,896
1/4/2024,GeForce RTX 3080,509
1/5/2023,GeForce RTX 3080,875
1/5/2024,GeForce RTX 3080,525
1/6/2023,GeForce RTX 3080,869
1/6/2024,GeForce RTX 3080,718
1/7/2023,GeForce RTX 3080,884
1/7/2024,GeForce RTX 3080,1003
1/8/2023,GeForce RTX 3080,822
1/8/2024,GeForce RTX 3080,865
1/9/2023,GeForce RTX 3080,616
1/9/2024,GeForce RTX 3080,708
1/10/2023,GeForce RTX 3080,669
1/10/2024,GeForce RTX 3080,767
1/11/2022,GeForce RTX 3080,790
1/11/2023,GeForce RTX 3080,703
1/11/2024,GeForce RTX 3080,763
1/12/2022,GeForce RTX 3080,903
1/12/2023,GeForce RTX 3080,679
1/12/2024,GeForce RTX 3080,822
1/1/2023,GeForce RTX 3080 Ti,1217
1/1/2024,GeForce RTX 3080 Ti,1443
1/2/2023,GeForce RTX 3080 Ti,1190
